25,22.38
UPyPlotSender\UPyPlotExampleSender\xVar,UPyPlotSender\UPyPlotExampleSender\zVar,UPyPlotSender\UPyPlotExampleSender\yVar,ExampleSphere_Upper\UPyPlotExampleSender\xVar,ExampleSphere_Upper\UPyPlotExampleSender\zVar,ExampleSphere_Upper\UPyPlotExampleSender\yVar,ExampleSphere_Lower\UPyPlotExampleSender\xVar,ExampleSphere_Lower\UPyPlotExampleSender\zVar,ExampleSphere_Lower\UPyPlotExampleSender\yVar
0.00,-0.12,0.00,0.00,-0.38,2.50,0.02,0.14,-2.50
0.00,-0.13,0.00,0.00,-0.36,2.50,0.02,0.20,-2.50
0.00,-0.23,0.00,0.00,-0.34,2.50,0.00,0.21,-2.50
0.00,-0.16,0.00,0.00,-0.41,2.50,0.00,0.28,-2.50
0.00,-0.28,0.00,0.00,-0.54,2.50,0.05,0.22,-2.50
0.00,-0.27,0.00,0.00,-0.45,2.50,0.02,0.25,-2.50
0.00,-0.27,0.00,0.00,-0.37,2.50,0.02,0.34,-2.50
0.00,-0.26,0.00,0.00,-0.39,2.50,0.00,0.24,-2.50
0.00,-0.31,0.00,0.00,-0.16,2.50,0.00,0.18,-2.50
0.00,-0.31,0.00,0.00,-0.22,2.50,0.01,0.18,-2.50
0.00,-0.29,0.00,0.00,-0.14,2.50,-0.01,0.14,-2.50
0.00,-0.44,0.00,0.00,-0.16,2.50,0.03,0.24,-2.50
0.00,-0.49,0.00,0.00,-0.22,2.50,0.01,0.34,-2.50
0.00,-0.73,0.00,0.00,-0.12,2.50,0.01,0.17,-2.50
0.00,-0.69,0.00,0.00,-0.02,2.50,0.01,0.13,-2.50
0.00,-0.65,0.00,0.00,0.00,2.50,-0.01,0.10,-2.50
0.00,-0.50,0.00,0.00,0.02,2.50,0.01,0.26,-2.50
0.00,-0.48,0.00,0.00,0.01,2.50,0.01,0.31,-2.50
0.00,-0.51,0.00,0.00,-0.01,2.50,0.01,0.34,-2.50
0.00,-0.55,0.00,0.00,0.03,2.50,0.01,0.20,-2.50
0.00,-0.46,0.00,0.00,0.17,2.50,0.00,0.19,-2.50
0.00,-0.36,0.00,0.00,0.11,2.50,-0.01,0.16,-2.50
0.00,-0.33,0.00,0.00,0.04,2.50,0.00,0.09,-2.50
0.00,-0.20,0.00,0.00,0.13,2.50,0.01,-0.03,-2.50
0.00,-0.10,0.00,0.00,0.27,2.50,0.00,-0.07,-2.50
